Timestamp,Open,High,Low,Close,Volume,Symbol,exchange,Date
1627938000.0,38851.84,39317.92,38788.55,39202.01,1506.10744,BTC/USDT,binance,2021-08-02 21:00:00
1627941600.0,39202.02,39528.55,39161.99,39415.43,1385.520694,BTC/USDT,binance,2021-08-02 22:00:00
1627945200.0,39415.42,39545.24,39065.66,39147.82,1476.160748,BTC/USDT,binance,2021-08-02 23:00:00
1627948800.0,39146.86,39780.0,38755.56,39327.39,4067.951043,BTC/USDT,binance,2021-08-03 00:00:00
1627952400.0,39327.4,39334.9,38785.95,38822.62,2781.744985,BTC/USDT,binance,2021-08-03 01:00:00
1627956000.0,38822.63,39087.08,38758.95,38896.03,1636.161497,BTC/USDT,binance,2021-08-03 02:00:00
1627959600.0,38896.03,38998.89,38512.0,38655.74,2299.569213,BTC/USDT,binance,2021-08-03 03:00:00
1627963200.0,38658.48,38828.59,38211.0,38328.01,3262.568202,BTC/USDT,binance,2021-08-03 04:00:00
1627966800.0,38328.01,38378.25,37955.52,38254.85,3774.603799,BTC/USDT,binance,2021-08-03 05:00:00
1627970400.0,38254.85,38449.97,38199.69,38357.16,1387.677801,BTC/USDT,binance,2021-08-03 06:00:00
1627974000.0,38357.16,38665.75,38252.4,38593.44,2015.567029,BTC/USDT,binance,2021-08-03 07:00:00
1627977600.0,38593.43,38666.0,38315.0,38523.43,1620.408658,BTC/USDT,binance,2021-08-03 08:00:00
1627981200.0,38523.43,38646.39,38340.0,38642.28,1437.974884,BTC/USDT,binance,2021-08-03 09:00:00
1627984800.0,38646.44,38809.0,38478.63,38713.13,1658.409297,BTC/USDT,binance,2021-08-03 10:00:00
1627988400.0,38713.14,38748.82,38400.0,38490.01,1503.34668,BTC/USDT,binance,2021-08-03 11:00:00
1627992000.0,38490.02,38538.37,37703.75,38394.77,6121.205829,BTC/USDT,binance,2021-08-03 12:00:00
1627995600.0,38394.77,38644.09,38324.63,38469.59,2404.758584,BTC/USDT,binance,2021-08-03 13:00:00
1627999200.0,38469.6,38703.0,38172.9,38253.59,2404.300479,BTC/USDT,binance,2021-08-03 14:00:00
1628002800.0,38253.59,38342.32,37924.12,38169.44,3514.216417,BTC/USDT,binance,2021-08-03 15:00:00
1628006400.0,38169.45,38470.76,37963.27,38398.51,2464.436984,BTC/USDT,binance,2021-08-03 16:00:00
1628010000.0,38398.5,38550.24,38006.4,38006.41,2096.367182,BTC/USDT,binance,2021-08-03 17:00:00
1628013600.0,38006.41,38200.0,37642.03,38194.23,3040.007092,BTC/USDT,binance,2021-08-03 18:00:00
1628017200.0,38194.22,38328.0,37926.91,38011.37,1554.51901,BTC/USDT,binance,2021-08-03 19:00:00
1628020800.0,38008.8,38199.89,37870.0,38079.54,1514.683354,BTC/USDT,binance,2021-08-03 20:00:00
1628024400.0,38081.43,38419.91,38042.07,38328.37,1443.993305,BTC/USDT,binance,2021-08-03 21:00:00
1628028000.0,38325.82,38570.12,38208.76,38344.39,1632.863453,BTC/USDT,binance,2021-08-03 22:00:00
1628031600.0,38344.42,38643.0,38068.31,38207.05,1480.101076,BTC/USDT,binance,2021-08-03 23:00:00
1628035200.0,38207.04,38491.71,37968.0,38406.75,1622.867759,BTC/USDT,binance,2021-08-04 00:00:00
1628038800.0,38410.76,38566.82,38326.31,38355.99,1413.750513,BTC/USDT,binance,2021-08-04 01:00:00
1628042400.0,38355.99,38425.0,38050.33,38095.66,1329.783745,BTC/USDT,binance,2021-08-04 02:00:00
1628046000.0,38095.67,38145.91,37890.54,37976.81,1237.218611,BTC/USDT,binance,2021-08-04 03:00:00
1628049600.0,37976.82,38099.99,37775.0,37970.66,1294.83915,BTC/USDT,binance,2021-08-04 04:00:00
